table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,浅草七丁目,0044-01,,
stops,stop_name,ja-Hrkt,あさくさななちょうめ,0044-01,,
stops,stop_name,en,Asakusa-Nanachōme (Asakusa 7),0044-01,,
stops,stop_name,ja,浅草七丁目,0044-02,,
stops,stop_name,ja-Hrkt,あさくさななちょうめ,0044-02,,
stops,stop_name,en,Asakusa-Nanachōme (Asakusa 7),0044-02,,
stops,stop_name,ja,麻布台ヒルズ,0045-01,,
stops,stop_name,ja-Hrkt,あざぶだいひるず,0045-01,,
stops,stop_name,en,Azabudai Hills,0045-01,,
stops,stop_name,ja,麻布台ヒルズ,0045-02,,
stops,stop_name,ja-Hrkt,あざぶだいひるず,0045-02,,
stops,stop_name,en,Azabudai Hills,0045-02,,
stops,stop_name,ja,飛鳥山,0046-01,,
stops,stop_name,ja-Hrkt,あすかやま,0046-01,,
stops,stop_name,en,Asukayama,0046-01,,
stops,stop_name,ja,飛鳥山,0046-02,,
stops,stop_name,ja-Hrkt,あすかやま,0046-02,,
stops,stop_name,en,Asukayama,0046-02,,
stops,stop_name,ja,足立梅田町,0048-01,,
stops,stop_name,ja-Hrkt,あだちうめだちょう,0048-01,,
stops,stop_name,en,Adachi-Umedachō,0048-01,,
stops,stop_name,ja,足立梅田町,0048-02,,
stops,stop_name,ja-Hrkt,あだちうめだちょう,0048-02,,
stops,stop_name,en,Adachi-Umedachō,0048-02,,
stops,stop_name,ja,千住一丁目,0049-01,,
stops,stop_name,ja-Hrkt,せんじゅいっちょうめ,0049-01,,
stops,stop_name,en,Senju-Itchōme (Senju 1),0049-01,,
stops,stop_name,ja,千住一丁目,0049-02,,
stops,stop_name,ja-Hrkt,せんじゅいっちょうめ,0049-02,,
stops,stop_name,en,Senju-Itchōme (Senju 1),0049-02,,
stops,stop_name,ja,足立清掃工場前,0050-01,,
stops,stop_name,ja-Hrkt,あだちせいそうこうじょうまえ,0050-01,,
stops,stop_name,en,Adachi-Seisōkōjō,0050-01,,
