stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
0070-01,,荒川五丁目,,35.739274,139.778264,0070-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=70,0,,,,
0070-02,,荒川五丁目,,35.739432,139.778234,0070-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=70,0,,,,
0071-01,,荒木町,,35.690817,139.722555,0071-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=71,0,,,,
0071-02,,荒木町,,35.690919,139.722435,0071-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=71,0,,,,
0072-01,,荒田,,35.81582,139.270742,0072-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=72,0,,,,
0072-02,,荒田,,35.815643,139.270085,0072-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=72,0,,,,
0074-01,,有明テニスの森,,35.63613,139.786652,0074-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=74,0,,,,
0074-02,,有明テニスの森,,35.636646,139.788025,0074-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=74,0,,,,
0075-01,,有明小中学校前,,35.641376,139.795584,0075-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=75,0,,,,
0075-02,,有明小中学校前,,35.641035,139.795542,0075-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=75,0,,,,
0075-03,,有明小中学校前,,35.641031,139.794491,0075-03,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=75,0,,,,
0075-04,,有明小中学校前,,35.64242,139.793841,0075-04,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=75,0,,,,
0077-01,,有明二丁目,,35.639442,139.792794,0077-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=77,0,,,,
0077-02,,有明二丁目,,35.638672,139.791799,0077-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=77,0,,,,
0078-05,,飯田橋駅前,東京メトロ有楽町線 飯田橋:東京メトロ東西線 飯田橋:都営大江戸線 飯田橋:東京メトロ南北線 飯田橋,35.701551,139.745988,0078-05,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=78,0,,,,5
0078-06,,飯田橋駅前,都営大江戸線 飯田橋:東京メトロ南北線 飯田橋:東京メトロ東西線 飯田橋:東京メトロ有楽町線 飯田橋,35.701671,139.746177,0078-06,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=78,0,,,,6
0079-01,,飯田橋,ＪＲ中央線 飯田橋,35.703257,139.744333,0079-01,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=79,0,,,,1
0079-02,,飯田橋,ＪＲ中央線 飯田橋,35.703496,139.744932,0079-02,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=79,0,,,,2
0079-03,,飯田橋,ＪＲ中央線 飯田橋,35.702878,139.743308,0079-03,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=79,0,,,,3
0079-04,,飯田橋,ＪＲ中央線 飯田橋,35.702642,139.743812,0079-04,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=79,0,,,,4
0080-07,,都営飯田橋駅前,東京メトロ南北線 飯田橋:都営大江戸線 飯田橋,35.703932,139.746822,0080-07,https://tobus.jp/blsys/navi?LCD=&VCD=cresultrsi&ECD=aprslt&slst=80,0,,,,7
