ダウンロードした時刻：2024/11/27 12:09:34

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),最深積雪(cm),最深積雪(cm),日照時間(時間),日照時間(時間),平均風速(m/s),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,
,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,,
2019/5/30,26.0,16.6,0.0,0,0,1,0,1,12.2,0,3.6,晴後一時薄曇,薄曇
2019/5/31,24.2,19.5,0.0,0,0,1,0,1,0.7,0,3.8,曇,曇後一時晴
2019/6/1,25.7,18.6,0,1,0,1,0,1,3.8,0,2.8,曇,薄曇
2019/6/2,25.0,19.0,0,1,0,1,0,1,0.3,0,2.3,曇,曇後一時雨
2019/6/3,27.0,18.7,0.0,0,0,1,0,1,5.6,0,2.9,曇一時雨後晴,晴時々薄曇
2019/6/4,27.7,17.6,0,1,0,1,0,1,7.9,0,3.1,薄曇,薄曇
2019/6/5,25.8,20.0,0,1,0,1,0,1,2.4,0,2.9,曇後一時晴,晴後一時薄曇
2019/6/6,32.3,18.7,0,1,0,1,0,1,11.0,0,2.7,晴時々薄曇,曇
2019/6/7,23.4,19.0,19.5,0,0,1,0,1,0.0,0,2.1,雨一時曇,曇一時雨
2019/6/8,25.4,18.7,0.0,0,0,1,0,1,1.7,0,2.2,曇,曇一時晴後雨
2019/6/9,20.7,15.9,10.0,0,0,1,0,1,0.0,0,2.7,曇時々雨,雨
2019/6/10,17.4,14.9,92.5,0,0,1,0,1,0.0,0,2.9,大雨,雨時々曇
2019/6/11,23.6,15.0,1.0,0,0,1,0,1,1.9,0,2.8,曇一時晴,曇時々雨
2019/6/12,21.5,14.5,0.5,0,0,1,0,1,0.3,0,2.1,曇,晴
2019/6/13,26.4,13.9,0,1,0,1,0,1,13.6,0,3.2,晴,快晴
2019/6/14,26.8,17.7,0.0,0,0,1,0,1,8.5,0,3.7,曇,雨一時曇
2019/6/15,20.9,16.2,51.0,0,0,1,0,1,0.0,0,2.6,大雨,曇時々雨一時晴、雷を伴う
2019/6/16,30.7,16.9,5.0,0,0,1,0,1,9.9,0,3.6,晴,晴
2019/6/17,28.7,17.4,0,1,0,1,0,1,11.6,0,4.2,晴後薄曇,晴時々曇
2019/6/18,27.7,20.0,0,1,0,1,0,1,7.6,0,3.5,晴後薄曇,晴時々薄曇
2019/6/19,28.6,18.8,0,1,0,1,0,1,9.7,0,3.0,晴一時曇,曇一時晴
2019/6/20,29.1,21.1,0.0,0,0,1,0,1,4.5,0,2.7,曇後晴,曇
2019/6/21,29.5,22.3,0.0,0,0,1,0,1,5.1,0,4.0,曇,晴時々曇
2019/6/22,25.3,20.6,6.0,0,0,1,0,1,0.5,0,3.0,雨一時曇,曇一時雨
2019/6/23,24.0,19.6,0.0,0,0,1,0,1,0.0,0,2.2,曇,曇後雨
2019/6/24,21.0,17.8,25.5,0,0,1,0,1,0.8,0,2.5,雨後一時曇,曇一時晴
2019/6/25,27.3,17.2,0,1,0,1,0,1,7.5,0,2.6,曇後晴,晴
2019/6/26,28.9,20.4,0,1,0,1,0,1,11.8,0,3.7,晴後時々薄曇,薄曇後時々晴
2019/6/27,28.7,22.8,2.0,0,0,1,0,1,2.6,0,4.4,曇後一時雨,雨後一時曇
2019/6/28,30.7,21.4,3.5,0,0,1,0,1,0.9,0,3.0,曇,雨時々曇
2019/6/29,21.5,19.0,3.0,0,0,1,0,1,0.0,0,1.9,雨後曇,雨
2019/6/30,23.6,20.3,5.5,0,0,1,0,1,0.0,0,1.6,雨時々曇,曇一時雨
2019/7/1,24.3,21.0,1.5,0,0,1,0,1,0.0,0,1.6,雨時々曇,曇時々雨
2019/7/2,28.1,21.5,0.5,0,0,1,0,1,0.7,0,1.6,曇一時雨,曇
2019/7/3,29.1,22.2,1.0,0,0,1,0,1,1.8,0,2.1,曇,雨時々曇
2019/7/4,25.2,19.9,10.5,0,0,1,0,1,0.1,0,3.7,雨後一時曇,曇時々晴
2019/7/5,24.5,19.0,4.5,0,0,1,0,1,0.4,0,2.2,曇,雨一時曇
2019/7/6,23.7,19.2,14.5,0,0,1,0,1,0.0,0,3.0,曇一時雨,雨一時曇
2019/7/7,20.8,17.9,22.5,0,0,1,0,1,0.0,0,3.2,雨,雨後曇
2019/7/8,24.8,17.7,0.0,0,0,1,0,1,1.4,0,2.8,曇,曇
2019/7/9,21.8,18.5,0.0,0,0,1,0,1,0.0,0,2.6,曇,曇
2019/7/10,24.8,18.5,0.0,0,0,1,0,1,0.8,0,2.7,曇後一時晴,曇一時晴
2019/7/11,23.6,17.9,2.0,0,0,1,0,1,0.0,0,2.2,曇後雨,雨
2019/7/12,21.9,18.2,12.5,0,0,1,0,1,0.0,0,1.6,雨後一時曇,曇
2019/7/13,27.3,20.0,0.5,0,0,1,0,1,0.2,0,2.1,曇一時雨,雨
2019/7/14,22.5,20.2,39.0,0,0,1,0,1,0.0,0,1.9,雨一時曇,曇後雨
2019/7/15,25.0,19.4,7.0,0,0,1,0,1,0.2,0,2.6,雨後曇,雨時々曇
2019/7/16,22.1,19.0,33.5,0,0,1,0,1,0.0,0,1.9,雨後一時曇,曇時々雨
2019/7/17,28.7,20.3,0.5,0,0,1,0,1,4.4,0,2.1,曇後晴,曇時々晴
2019/7/18,29.7,22.2,9.5,0,0,1,0,1,0.6,0,2.0,曇,雨一時曇
2019/7/19,31.4,23.0,3.5,0,0,1,0,1,3.8,0,2.7,曇一時雨,曇時々雨
2019/7/20,29.5,24.4,0.0,0,0,1,0,1,0.0,0,1.9,曇時々雨,雨時々曇
2019/7/21,28.2,22.7,0.0,0,0,1,0,1,0.0,0,2.1,曇一時雨,曇後時々雨
2019/7/22,24.0,21.6,0.5,0,0,1,0,1,0.0,0,1.8,曇一時雨,雨時々曇
2019/7/23,29.3,22.4,4.0,0,0,1,0,1,1.1,0,1.9,曇時々雨,曇時々雨
2019/7/24,31.6,23.7,6.0,0,0,1,0,1,5.2,0,2.4,曇一時雨後晴,曇時々晴
2019/7/25,32.4,24.4,0.0,0,0,1,0,1,7.2,0,2.9,晴一時雨,晴
2019/7/26,33.1,25.6,0.5,0,0,1,0,1,11.3,0,4.2,晴,曇時々雨
2019/7/27,31.4,25.1,4.0,0,0,1,0,1,4.8,0,5.4,晴一時曇,曇後雨
2019/7/28,32.3,25.0,15.0,0,0,1,0,1,5.6,0,3.6,晴時々曇一時雨,晴時々薄曇
2019/7/29,33.7,25.3,0.0,0,0,1,0,1,9.2,0,2.6,晴一時曇,曇時々晴
2019/7/30,33.6,26.0,0,1,0,1,0,1,10.5,0,3.0,晴後一時薄曇,晴一時薄曇
2019/7/31,34.6,26.5,0,1,0,1,0,1,11.8,0,2.8,晴後薄曇,晴時々薄曇
2019/8/1,35.0,26.3,0,1,0,1,0,1,9.2,0,2.5,晴,晴
2019/8/2,35.1,27.1,0,1,0,1,0,1,10.1,0,2.7,晴,快晴
2019/8/3,33.7,25.7,0,1,0,1,0,1,12.2,0,2.9,晴,晴
2019/8/4,34.3,25.3,0,1,0,1,0,1,11.5,0,2.8,晴,晴
2019/8/5,34.9,25.1,0,1,0,1,0,1,11.1,0,3.0,晴,晴後一時曇
2019/8/6,35.0,27.5,0,1,0,1,0,1,10.5,0,3.8,晴後薄曇,薄曇時々晴
2019/8/7,35.6,26.7,0,1,0,1,0,1,9.5,0,3.1,薄曇時々晴,晴一時薄曇
2019/8/8,35.5,26.0,0,1,0,1,0,1,9.1,0,2.8,晴,晴一時曇
2019/8/9,35.6,26.2,0,1,0,1,0,1,10.8,0,3.3,晴後一時薄曇,曇一時晴
2019/8/10,34.4,25.7,0,1,0,1,0,1,9.4,0,3.2,晴一時曇,晴
2019/8/11,35.6,25.3,0.0,0,0,1,0,1,8.8,0,2.8,晴一時薄曇,曇一時晴
