"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","/表章事項 コード","2020_01","2020_01","2020_01"
"","","","","","","/表章事項 補助コード","-","-","-"
"","","","","","","/表章事項","人口【人】","人口【人】","人口【人】"
"","","","","","","/男女 コード","0","1","2"
"","","","","","","/男女 補助コード","-","-","-"
"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む） 補助コード","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020000000","","2020年","0151B","","（旧：枝幸町）","","6067","2884","3183"
"2020000000","","2020年","01515","","（旧：歌登町）","","1498","716","782"
"2020000000","","2020年","01516","","豊富町","","3974","2098","1876"
"2020000000","","2020年","01517","","礼文町","","2509","1284","1225"
"2020000000","","2020年","01518","","利尻町","","2004","994","1010"
"2020000000","","2020年","01519","","利尻富士町","","2458","1188","1270"
"2020000000","","2020年","01520","","幌延町","","2371","1290","1081"
"2020000000","","2020年","01488","","（旧：幌延町）","","2371","1290","1081"
"2020000000","","2020年","01543","","美幌町","","18697","9063","9634"
"2020000000","","2020年","01544","","津別町","","4373","2096","2277"
"2020000000","","2020年","01545","","斜里町","","11418","5672","5746"
"2020000000","","2020年","01546","","清里町","","3883","1882","2001"
"2020000000","","2020年","01547","","小清水町","","4623","2207","2416"
"2020000000","","2020年","01549","","訓子府町","","4677","2241","2436"
"2020000000","","2020年","01550","","置戸町","","2775","1281","1494"
"2020000000","","2020年","01552","","佐呂間町","","4875","2296","2579"
"2020000000","","2020年","01555","","遠軽町","","19241","9337","9904"
"2020000000","","2020年","01554","","（旧：生田原町）","","1582","792","790"
"2020000000","","2020年","0155B","","（旧：遠軽町）","","15859","7730","8129"
"2020000000","","2020年","01556","","（旧：丸瀬布町）","","1214","536","678"
"2020000000","","2020年","01557","","（旧：白滝村）","","586","279","307"
"2020000000","","2020年","01559","","湧別町","","8270","3947","4323"
"2020000000","","2020年","01558","","（旧：上湧別町）","","4467","2079","2388"
"2020000000","","2020年","0155C","","（旧：湧別町）","","3803","1868","1935"
"2020000000","","2020年","01560","","滝上町","","2421","1177","1244"
"2020000000","","2020年","01561","","興部町","","3628","1768","1860"
"2020000000","","2020年","01562","","西興部村","","1053","520","533"
"2020000000","","2020年","01563","","雄武町","","4199","1999","2200"
"2020000000","","2020年","01564","","大空町","","6775","3287","3488"
"2020000000","","2020年","01541","","（旧：東藻琴村）","","2124","1011","1113"
"2020000000","","2020年","01542","","（旧：女満別町）","","4651","2276","2375"
"2020000000","","2020年","01571","","豊浦町","","3821","1781","2040"
"2020000000","","2020年","01575","","壮瞥町","","2743","1285","1458"
"2020000000","","2020年","01578","","白老町","","16212","7706","8506"
"2020000000","","2020年","01581","","厚真町","","4432","2249","2183"
"2020000000","","2020年","01584","","洞爺湖町","","8442","3909","4533"
"2020000000","","2020年","01572","","（旧：虻田町）","","6874","3173","3701"
"2020000000","","2020年","01573","","（旧：洞爺村）","","1568","736","832"
"2020000000","","2020年","01585","","安平町","","7340","3632","3708"
"2020000000","","2020年","01579","","（旧：早来町）","","4358","2192","2166"
"2020000000","","2020年","01580","","（旧：追分町）","","2982","1440","1542"
"2020000000","","2020年","01586","","むかわ町","","7651","3779","3872"
"2020000000","","2020年","01582","","（旧：鵡川町）","","5253","2606","2647"
"2020000000","","2020年","01583","","（旧：穂別町）","","2398","1173","1225"
"2020000000","","2020年","01601","","日高町","","11279","5712","5567"
"2020000000","","2020年","0160B","","（旧：日高町）","","1347","703","644"
